fold,feature,coefficient,abs_coefficient
2,price_day_ahead_lag_168,-0.0011325933786514714,0.0011325933786514714
2,wind_deg_cos_seville_lag_24,-0.0007745567652061587,0.0007745567652061587
2,snow_3h_barcelona_lag_24,0.0,0.0
2,snow_3h_barcelona_lag_168,0.0,0.0
2,snow_3h_seville_lag_24,0.0,0.0
2,snow_3h_seville_lag_168,0.0,0.0
3,month,218.34929675191344,218.34929675191344
3,day_of_year,-218.11482955166483,218.11482955166483
3,generation_wind_onshore_lag_24,-34.47555076663609,34.47555076663609
3,renewable_generation_lag_24,29.78445868065338,29.78445868065338
3,clouds_all_national_mean_lag_24,-29.354547982371006,29.354547982371006
3,price_mean_lag24_lag48,-25.725105362858198,25.725105362858198
3,generation_hydro_water_reservoir_lag_24,-22.073931072298013,22.073931072298013
3,day_of_month,18.40953489926945,18.40953489926945
3,price_day_ahead_lag_24,18.30111332415751,18.30111332415751
3,clouds_all_national_mean_lag_168,-17.404415899469523,17.404415899469523
3,generation_solar_lag_24,-17.179816819046426,17.179816819046426
3,total_generation_lag_24,16.03031909934831,16.03031909934831
3,generation_wind_onshore_lag_168,-12.834572473012297,12.834572473012297
3,renewable_generation_lag_168,12.784202075115713,12.784202075115713
3,price_day_ahead_lag_48,12.457853987288964,12.457853987288964
3,clouds_all_bilbao_lag_24,11.358118271640546,11.358118271640546
3,wind_speed_national_mean_lag_24,-11.19134648838298,11.19134648838298
3,clouds_all_madrid_lag_24,10.072048051424128,10.072048051424128
3,clouds_all_valencia_lag_24,9.188435044613275,9.188435044613275
3,clouds_all_barcelona_lag_24,9.037645316260752,9.037645316260752
3,clouds_all_seville_lag_24,8.952693136473846,8.952693136473846
3,price_mean_lag24_lag48_lag168,8.62311656261012,8.62311656261012
3,forecast_wind_share_of_load,-7.945130418355174,7.945130418355174
3,generation_hydro_water_reservoir_lag_168,-7.805481411835969,7.805481411835969
3,humidity_national_mean_lag_24,7.764635526463101,7.764635526463101
3,total_generation_lag_168,7.108801669125162,7.108801669125162
3,generation_solar_lag_168,-6.795597749175122,6.795597749175122
3,wind_speed_national_mean_lag_168,-6.64729793225698,6.64729793225698
3,clouds_all_bilbao_lag_168,6.642669475826485,6.642669475826485
3,generation_hydro_run_of_river_and_poundage_lag_24,-5.796903103593356,5.796903103593356
3,clouds_all_madrid_lag_168,5.778613891264771,5.778613891264771
3,total_load_forecast,5.491959356873423,5.491959356873423
3,clouds_all_valencia_lag_168,5.427641321460358,5.427641321460358
3,clouds_all_seville_lag_168,5.1555829197121446,5.1555829197121446
3,clouds_all_barcelona_lag_168,4.9827157984160175,4.9827157984160175
3,fossil_generation_lag_24,-4.644391115208725,4.644391115208725
3,wind_speed_valencia_lag_24,4.488171522141303,4.488171522141303
3,generation_fossil_hard_coal_lag_24,-4.412594085877286,4.412594085877286
3,month_sin,-4.145778859931157,4.145778859931157
3,humidity_national_mean_lag_168,4.108895322750901,4.108895322750901
3,total_load_actual_lag_24,-4.105831513809684,4.105831513809684
3,generation_fossil_gas_lag_24,-4.066849896923796,4.066849896923796
3,wind_speed_madrid_lag_24,3.7893340116422327,3.7893340116422327
3,renewable_share_lag_24,3.47905710116332,3.47905710116332
3,humidity_seville_lag_24,-3.281638633147807,3.281638633147807
3,wind_speed_bilbao_lag_24,3.115267872527806,3.115267872527806
