model,fold,n_rounds,reg_lambda,learning_rate,feature_selector,MAE,RMSE,R2,sMAPE,bias,residual_mean,residual_std
gblin_3e-03_eta0p1_shuffle,3,10,0.003,0.1,shuffle,4.991136586222221,6.560802921407876,0.3234763731355814,9.621103668597344,0.4838184440635828,0.4838184440635828,6.542939300248629
gblin_3e-03_eta0p3_cyclic,3,162,0.003,0.3,cyclic,4.9422629739325625,6.40018537008276,0.3561953792468989,9.74843739731214,0.06485551242258927,0.06485551242258927,6.399856758860294
gblin_3e-03_eta0p3_shuffle,3,54,0.003,0.3,shuffle,5.027013158711839,6.470032579927858,0.3420666225109772,9.926936837565952,0.008183707615066428,0.008183707615066428,6.470027404289537
gblin_3e-03_eta1p0_cyclic,3,70,0.003,1.0,cyclic,4.900913196577798,6.3502083068897495,0.3662106641956998,9.69191253348395,-0.05216459837986763,-0.05216459837986763,6.349994046892285
gblin_3e-03_eta1p0_shuffle,3,11,0.003,1.0,shuffle,4.9801150328678725,6.4625200281422375,0.3435936284155471,9.85536873174754,-0.30637823927046576,-0.30637823927046576,6.45525347981325
gblin_1e-02_eta0p1_cyclic,3,10,0.01,0.1,cyclic,4.897004859435483,6.478650832936763,0.340312686130653,9.47789249830585,0.1822735239186971,0.1822735239186971,6.476086239202693
gblin_1e-02_eta0p1_shuffle,3,10,0.01,0.1,shuffle,4.9893609166649195,6.561736554169064,0.3232838145201541,9.61683068186122,0.4798429862927448,0.4798429862927448,6.544168191208426
gblin_1e-02_eta0p3_cyclic,3,148,0.01,0.3,cyclic,4.945494762831429,6.390525244042548,0.35813736683604047,9.743766814778832,0.08892020956536592,0.08892020956536592,6.389906579213497
gblin_1e-02_eta0p3_shuffle,3,54,0.01,0.3,shuffle,5.015324477151271,6.4497563387621,0.34618391623516587,9.894054110357242,0.03106214076070659,0.03106214076070659,6.449681540418353
gblin_1e-02_eta1p0_cyclic,3,63,0.01,1.0,cyclic,4.912443321711743,6.350552039921238,0.36614204905258785,9.697926914332083,-0.012050442905163583,-0.012050442905163583,6.350540606796684
gblin_1e-02_eta1p0_shuffle,3,11,0.01,1.0,shuffle,4.968653164837673,6.4372103087806,0.34872504112182257,9.819558487631067,-0.24408804186155864,-0.24408804186155864,6.432580942925741
gblin_1e-06_eta0p1_cyclic,4,300,1e-06,0.1,cyclic,5.587734633433081,7.286357584898346,0.7112554850222088,13.090216320726697,-2.124300981663333,-2.124300981663333,6.969817228185389
gblin_1e-06_eta0p1_shuffle,4,298,1e-06,0.1,shuffle,5.585778849072663,7.2857059076231785,0.7113071321783776,13.092843165863508,-2.1336156710442364,-2.1336156710442364,6.9662898834781295
gblin_1e-06_eta0p3_cyclic,4,300,1e-06,0.3,cyclic,5.487292170014044,7.153265709829511,0.7217075039719221,12.88026819945474,-1.9085562252024435,-1.9085562252024435,6.893955573592254
gblin_1e-06_eta0p3_shuffle,4,298,1e-06,0.3,shuffle,5.485114167254157,7.152909063010443,0.7217352534399982,12.875455308253352,-1.9102018554845401,-1.9102018554845401,6.893129690858888
gblin_1e-06_eta1p0_cyclic,4,300,1e-06,1.0,cyclic,5.443232793646797,7.091206554734308,0.7265152885928778,12.793155643703438,-1.8644573954103212,-1.8644573954103212,6.841710971870017
gblin_1e-06_eta1p0_shuffle,4,10,1e-06,1.0,shuffle,5.7544019374690825,7.492388929302183,0.6946953574544443,13.573421873581449,-2.629555650298636,-2.629555650298636,7.015791398688562
gblin_1e-05_eta0p1_cyclic,4,300,1e-05,0.1,cyclic,5.587794324540089,7.286433212839324,0.7112494910077207,13.090349544832138,-2.1244582792008164,-2.1244582792008164,6.969848347353269
gblin_1e-05_eta0p1_shuffle,4,298,1e-05,0.1,shuffle,5.585835280806573,7.285777866952638,0.7113014294371354,13.092966757900296,-2.1337623439503606,-2.1337623439503606,6.966320218459414
gblin_1e-05_eta0p3_cyclic,4,300,1e-05,0.3,cyclic,5.487372701603622,7.153373810311801,0.7216990927702219,12.880440145437902,-1.9087956491562164,-1.9087956491562164,6.894001453424352
gblin_1e-05_eta0p3_shuffle,4,298,1e-05,0.3,shuffle,5.485199147504042,7.153020157123365,0.7217266097357463,12.875634153806029,-1.9104347570843188,-1.9104347570843188,6.893180427577486
gblin_1e-05_eta1p0_cyclic,4,300,1e-05,1.0,cyclic,5.443376669670147,7.091406151662545,0.7264998927709895,12.79347433792922,-1.864736866451033,-1.864736866451033,6.8418416838403795
